START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/09/18,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D+ ----- Local Radio: 97.1 The Ticket",04/09/18,04/09/18,09:10 PM,09:10 PM,FALSE,TRUE,04/09/18,05:10 PM,05:10 PM,FREE,BUSY
04/10/18,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/10/18,04/10/18,09:10 PM,09:10 PM,FALSE,TRUE,04/10/18,05:10 PM,05:10 PM,FREE,BUSY
04/11/18,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D+ ----- Local Radio: 97.1 The Ticket",04/11/18,04/11/18,09:10 PM,09:10 PM,FALSE,TRUE,04/11/18,05:10 PM,05:10 PM,FREE,BUSY
04/12/18,06:10 PM,06:10 PM,Tigers at Indians,Progressive Field - Cleveland,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/12/18,04/12/18,09:10 PM,09:10 PM,FALSE,TRUE,04/12/18,05:10 PM,05:10 PM,FREE,BUSY
04/13/18,07:10 PM,07:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/13/18,04/13/18,10:10 PM,10:10 PM,FALSE,TRUE,04/13/18,06:10 PM,06:10 PM,FREE,BUSY
04/17/18,06:40 PM,06:40 PM,Orioles at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/17/18,04/17/18,09:40 PM,09:40 PM,FALSE,TRUE,04/17/18,05:40 PM,05:40 PM,FREE,BUSY
04/18/18,01:10 PM,01:10 PM,Orioles at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/18/18,04/18/18,04:10 PM,04:10 PM,FALSE,TRUE,04/18/18,12:10 PM,12:10 PM,FREE,BUSY
04/19/18,01:10 PM,01:10 PM,Orioles at Tigers,Comerica Park - Detroit,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",04/19/18,04/19/18,04:10 PM,04:10 PM,FALSE,TRUE,04/19/18,12:10 PM,12:10 PM,FREE,BUSY
04/20/18,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",04/20/18,04/20/18,04:10 PM,04:10 PM,FALSE,TRUE,04/20/18,12:10 PM,12:10 PM,FREE,BUSY
04/20/18,07:10 PM,07:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/20/18,04/20/18,10:10 PM,10:10 PM,FALSE,TRUE,04/20/18,06:10 PM,06:10 PM,FREE,BUSY
04/21/18,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",04/21/18,04/21/18,04:10 PM,04:10 PM,FALSE,TRUE,04/21/18,12:10 PM,12:10 PM,FREE,BUSY
04/22/18,01:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/22/18,04/22/18,04:10 PM,04:10 PM,FALSE,TRUE,04/22/18,12:10 PM,12:10 PM,FREE,BUSY
04/25/18,04:05 PM,04:05 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",04/25/18,04/25/18,07:05 PM,07:05 PM,FALSE,TRUE,04/25/18,03:05 PM,03:05 PM,FREE,BUSY
04/25/18,,,Tigers at Pirates - Time TBD,PNC Park - Pittsburgh,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/25/18,04/25/18,,,FALSE,TRUE,04/25/18,,,FREE,BUSY
04/26/18,12:35 PM,12:35 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: FS-D- MLBN (out-of-market only) ----- Local Radio: 97.1 The Ticket",04/26/18,04/26/18,03:35 PM,03:35 PM,FALSE,TRUE,04/26/18,11:35 AM,11:35 AM,FREE,BUSY
04/27/18,07:05 PM,07:05 PM,Tigers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/27/18,04/27/18,10:05 PM,10:05 PM,FALSE,TRUE,04/27/18,06:05 PM,06:05 PM,FREE,BUSY
04/28/18,07:05 PM,07:05 PM,Tigers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/28/18,04/28/18,10:05 PM,10:05 PM,FALSE,TRUE,04/28/18,06:05 PM,06:05 PM,FREE,BUSY
04/29/18,01:05 PM,01:05 PM,Tigers at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/29/18,04/29/18,04:05 PM,04:05 PM,FALSE,TRUE,04/29/18,12:05 PM,12:05 PM,FREE,BUSY
04/30/18,07:10 PM,07:10 PM,Rays at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/30/18,04/30/18,10:10 PM,10:10 PM,FALSE,TRUE,04/30/18,06:10 PM,06:10 PM,FREE,BUSY
